Name,Quantity,Total Price,LCSC Number,Link
"0,1uF",6,"$0,20",C49678,https://www.lcsc.com/product-detail/C49678.html?s_z=n_q_t_capacitor&spm=wm.fly.bg.28.xh___wm.ssy.tc.0.tz&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlVZV1ZRQVNdUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D
10uF,3,"$0,20",C15850,https://www.lcsc.com/product-detail/C15850.html?s_z=n_q_t_capacitor&spm=wm.fly.bg.0.xh___wm.ssy.tc.0.tz&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlVZV1ZRQVNdUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D
1uF/25V,14,"$0,70",C116352,https://www.lcsc.com/product-detail/C116352.html?s_z=n_q_t_capacitor&spm=wm.fly.bg.2.xh___wm.ssy.tc.0.tz&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlVZV1ZRQVNdUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D
4.7uF/25V,3,"$0,20",C98195,https://www.lcsc.com/product-detail/C98195.html?s_z=n_q_t_capacitor&spm=wm.fly.bg.4.xh___wm.ssy.tc.0.tz&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlVZV1ZRQVNdUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D
15pF,2,"$0,03",C1644,https://www.lcsc.com/product-detail/C1644.html?spm=wm.fly.bg.0.xh___wm.fly.tp.3.ml&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlVWVFBQTldeVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVRbX11eWQkaCgg%3D
10nF,1,"$0,02",C100042,https://www.lcsc.com/product-detail/C100042.html?spm=wm.fly.bg.0.xh___wm.fly.tp.3.ml&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlVWVFBQTldeVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVRbX11eWQkaCgg%3D
,,,,
Diodes:,,,,
THT Red LED Diode 3mm,2,"$0,07",C99772,https://www.lcsc.com/product-detail/C99772.html?spm=wm.fly.bg.1.xh&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlVZVlBXQ1ZZUjsOAxUeFF5JWBYZEEoBGA4JCwFIFA4DSA%3D%3D
MBR0530,3,"$0,02",C5204746,https://www.lcsc.com/product-detail/C5204746.html?s_z=n_q_MBR0530&spm=wm.fly.bg.1.xh&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlVZVVRSQFVWUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slTlhZUFZIHxUDCw%3D%3D
,,,,
Inductors:,,,,
47nH,1,"$0,06",C54534559,https://www.lcsc.com/product-detail/C54534559.html?s_z=n_q_t_Inductor&spm=wm.fly.bg.5.xh___wm.ssy.tc.0.tz&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlVZVFNXQldbUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D
47uH,1,"$0,08",C167888,https://www.lcsc.com/product-detail/C167888.html?s_z=n_q_NR3015&spm=wm.fly.bg.33.stp&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlVZU1FQR1lbXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQlBZUVFWRE8GEwkK
2nH,1,"$0,00",C55067196,https://www.lcsc.com/product-detail/C55067196.html?s_z=s_c_Fixed%2520Inductors&spm=wm.fly.bg.0.xh&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlVWVFxXQllfUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4MFQUIE0wKAhAHHg1BU1FRWQkaCgg%3D
,,,,
Resistors:,,,,
10K Pull Up,1,"$0,01",C98220,https://www.lcsc.com/product-detail/C98220.html
1K,4,"$0,01",C2907002,https://www.lcsc.com/product-detail/C2907002.html?spm=wm.fly.bg.0.xh___wm.fly.tp.1.ml&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlVZUldeRVNfUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlhXSQwSGg0%3D
1.2K,1,"$0,05",C2907002,https://www.lcsc.com/product-detail/C269531.html?spm=wm.fly.bg.2.xh___wm.fly.tp.1.ml&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlVZUldeRVNfUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlhXSQwSGg0%3D
4.7K,2,"$0,07",C2904521,https://www.lcsc.com/product-detail/C2904521.html?spm=wm.fly.bg.0.xh___wm.fly.tp.1.ml&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlVZUldeRVNfUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlhXSQwSGg0%3D
100,1,"$0,01",C2907218,https://www.lcsc.com/product-detail/C2907218.html?spm=wm.fly.bg.17.xh___wm.fly.tp.1.ml&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlVZUldeRVNfUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlhXSQwSGg0%3D
1M,1,"$0,01",C2907003,https://www.lcsc.com/product-detail/C2907003.html?spm=wm.fly.bg.0.xh___wm.fly.tp.1.ml&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlVZUVRXR1BZXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlhXSQwSGg0%3D
2.2,1,"$0,01",C22939,https://www.lcsc.com/product-detail/C22939.html?spm=wm.fly.bg.1.xh___wm.fly.tp.1.ml&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlVZUVRXR1BZXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlhXSQwSGg0%3D
499,1,"$0,00",C23065,https://www.lcsc.com/product-detail/C23065.html?spm=wm.fly.bg.2.xh___wm.mly.mlk.36-6-1.ml&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlVWU1VTRFVZUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktURFRXSQwSGg0%3D
0,1,"$0,00",C95177,https://www.lcsc.com/product-detail/C95177.html?spm=wm.fly.bg.0.xh___wm.mly.mlk.36-6-1.ml&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlVWU1VTRFVZUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktURFRXSQwSGg0%3D
,,,,
Crystal,1,"$0,30",C255898,https://www.lcsc.com/product-detail/C255898.html?spm=wm.fly.bg.0.xh___wm.fly.tp.1.ml&lcsc_vid=RQJbUwJeTgRXVlBeQwJaUFVUFVBbX1FeFgVWA1VWQVMxVlNeQlVWVVBURVZWVTsOAxUeFF5JWBYZEEoBGA4JCwFIFA4DSA%3D%3D
